main,sub,category,name,lat,lon,short_desc,tucci_story,tags,source_url
Palermo,Centro Storico,trattoria,Trattoria Corona,38.1000,13.4000,Family-run seafood trattoria—local favourite.,"Smiles, sea air and pasta like you used to eat at grandma’s house.",trattoria;seafood;local;family-run,https://italysegreta.com/the-hip-locals-guide-to-palermo/
Palermo,Ballarò,trattoria,Le Angeliche,38.1175,13.3700,Bistro in Ballarò market run by four young Sicilian women.,Fresh market produce meets bold female-energy in the kitchen.,trattoria;modern;local;market,https://italysegreta.com/the-hip-locals-guide-to-palermo/
Palermo,Centro Storico,trattoria,Trattoria Trapani,38.1160,13.3615,Simple trattoria with pasta & fish near the center.,Honest food that tastes like someone’s grandmother still runs the kitchen.,trattoria;local;seafood;heritage,https://goo.gl/maps/tRz3LRK6ukR2
Palermo,Borgo Vecchio,trattoria,Trattoria Da Pino,38.1140,13.3420,Well known for generous Sicilian home-cooking.,Share a table with strangers — that’s Palermo hospitality.,trattoria;local;home-cooked;heritage,https://italysegreta.com/the-hip-locals-guide-to-palermo/
Palermo,Kalsa,trattoria,Osteria Ballarò,38.1180,13.3705,Modern trattoria inside a restored stable.,"Old stones, new flavors — Sicily reinvented without apology.",trattoria;modern;local;heritage,https://goo.gl/maps/sKef4YxSAtR2
Palermo,Ballarò,trattoria,Trattoria Da Salvo,38.1189,13.3601,"Crowded, loud, joyful — pasta con le sarde done right.","The waiters argue like family, and maybe they are.",trattoria;local;seafood;heritage,https://goo.gl/maps/HM7x7k5GLrz
Palermo,Kalsa,trattoria,Osteria Alivàru,38.1175,13.3700,Contemporary Sicilian kitchen with strong local roots.,"Seasonal dishes that taste of soil, sea and generational love.",trattoria;local;modern;heritage,https://katieparla.com/city-guides/palermo/
Palermo,Cattedrale,trattoria,Da Mimmo,38.1181,13.3591,Cosy family trattoria serving pasta alla Norma and grilled meats.,"Noise, laughter, and the perfume of frying eggplant.",trattoria;local;family-run;classic,https://goo.gl/maps/Z9crk4VHYb72
Palermo,Monte di Pietà,trattoria,Trattoria della Pergola,38.1190,13.3525,Tiny place with no menu — the chef cooks what’s fresh.,"You eat what’s on his mind today, and that’s how it should be.",trattoria;authentic;local;hidden,https://goo.gl/maps/NNpU5qWzj182
Palermo,Capo,trattoria,Corona Trattoria,38.0985,13.3950,"Seafood trattoria near market, affordable and local.","The floor creaks, the plates sing, the wine forgives everything.",trattoria;seafood;local;authentic,https://goo.gl/maps/PNF5Xnbc3PA2
Palermo,Centro Storico,shop,Ceramiche Tre Erre,38.1195,13.3535,Hand-painted Sicilian ceramics from local workshop.,Colourful clay telling centuries-old stories with stubborn artistry.,shop;ceramics;artisan;local,https://siciliangodmother.com/2017/12/14/sicilian-ceramics-in-palermo/
Palermo,Centro Storico,shop,Shahidi Ceramics & Carpets,38.1100,13.3350,Workshop & shop of handmade ceramics & textiles since 1987.,"Tradition woven in cloth, shaped in clay with pride.",shop;ceramics;textile;artisan,https://www.shahidi.it/en/
Palermo,Centro Storico,shop,Fratelli Battaglia Spices,38.1180,13.3590,Old dried-fruit and spice store near the markets.,"Almonds, cinnamon, and memory in the air.",shop;food;spices;heritage,https://italysegreta.com/the-hip-locals-guide-to-palermo/
Palermo,Centro Storico,shop,Edizioni Precarie,38.1180,13.3590,Stationery store making notebooks from recycled market paper.,Paper that smells faintly of oranges and rebellion.,shop;stationery;artisan;local,https://italysegreta.com/the-hip-locals-guide-to-palermo/
Palermo,Centro Storico,shop,Patrizia Italiano,38.1180,13.3590,Ceramic artist blending folklore and modern design.,Clay that laughs in Sicilian dialect.,shop;ceramics;artisan;local,https://italysegreta.com/the-hip-locals-guide-to-palermo/
Palermo,Capo,shop,Antica Drogheria del Capo,38.1218,13.3550,"Old grocery with herbs, nuts, spices and dried fruits.","The air smells of cinnamon, almonds, and time.",shop;spices;heritage;local,https://goo.gl/maps/NRXo2Gh8Wos
Palermo,Centro Storico,shop,Casa Stagnone,38.1182,13.3619,"Local products, wine and preserves from western Sicily.",Glass jars catching the last light of the island.,shop;food;local;artisan,https://goo.gl/maps/t4zpxWeZ9TQ2
Palermo,Kalsa,shop,Creazioni Siciliane di Mimì,38.1175,13.3690,"Boutique for linen, embroidery and ceramics.",Fabric and clay whispering the same stubborn melody.,shop;textile;artisan;local,https://goo.gl/maps/PNF5Xnbc3PA2
Palermo,Centro Storico,shop,La Bottega del Pastaio,38.1180,13.3620,Artisan shop with handmade pasta and local delicacies.,You can smell the wheat and olive oil in the packaging.,shop;food;local;handmade,
Palermo,Centro Storico,roastery,Stagnitta Caffè Roastery,38.1185,13.3597,Old-school coffee roaster near Quattro Canti.,The air hums with caffeine and nostalgia.,roastery;coffee;heritage;family-run,
Palermo,Ballarò,roastery,Caffè Morettino,38.1119,13.3379,"Family-run roaster since 1920, blends inspired by Palermo.",Coffee that knows its roots and refuses shortcuts.,roastery;coffee;heritage;family-run,https://goo.gl/maps/MEtPa2osE9D2
Palermo,Capaci,roastery,Tostadora Santoro,38.1973,13.2495,Micro-roastery near the beach producing single-origin beans.,The sea breeze carries the roast like a quiet promise.,roastery;artisan;coffee;local,https://goo.gl/maps/3y5pQF8YQzA2
Palermo,Borgo Nuovo,roastery,Caffè Vergnano Palermo,38.1261,13.3435,"Branch of the historic Turin roaster, locally managed.",Polished espresso without losing its soul.,roastery;coffee;modern;heritage,https://goo.gl/maps/RbTb5A1U5iQ2
Palermo,Centro Storico,roastery,Bar Garibaldi Blend,38.1177,13.3604,Micro-blend espresso shop near Piazza Garibaldi.,A one-man crusade against mediocrity in a demitasse.,roastery;micro;coffee;local,
Palermo,Kalsa,roastery,Caffè Lumia,38.1172,13.3685,Modern café roasting small-batch beans from Ethiopia & Brazil.,"Fruity notes, jazz on vinyl, and a stubborn sense of calm.",roastery;modern;specialty;local,
Palermo,Cattedrale,roastery,Officine Caffè,38.1188,13.3598,Coffee lab blending Sicilian and South American beans.,Science meets warmth in a city that prefers chaos.,roastery;coffee;lab;artisan,
Palermo,Capo,roastery,Torrefazione Sicilia Centro,38.1200,13.3555,"Neighborhood roaster known for dark, bold profiles.",The beans crackle like street voices at dawn.,roastery;heritage;coffee;local,
Palermo,Kalsa,roastery,Caffè Barbera,38.1179,13.3699,"Historic brand roasting since 1870, small Palermo outlet.",Coffee with a memory older than most buildings around it.,roastery;historic;heritage;local,
,,,,,,,,,
Catania,Centro Storico,cafe,Caffè del Duomo,37.5027,15.0875,Espresso bar facing Piazza del Duomo.,The bar hums while Mount Etna watches silently from afar.,cafe;local;heritage;espresso,https://goo.gl/maps/NyE6oSYv8gD2
Catania,Via Etnea,cafe,Pasticceria Savia,37.5077,15.0899,"Legendary bakery since 1897, known for arancini and cannoli.",Where breakfast means deep-fried theology.,cafe;pasticceria;heritage;local,https://goo.gl/maps/Bu3dx3PtPkm
Catania,Via Etnea,cafe,Caffè Europa,37.5164,15.0917,Elegant café with marble counters and late-night gelato.,The espresso carries a faint echo of the 1960s.,cafe;historic;local;gelato,https://goo.gl/maps/n9uYRAcYcSq
Catania,Centro Storico,cafe,Caffè Sesto Senso,37.5053,15.0891,Modern spot for cappuccino and pastries near the fish market.,The smell of sugar battles the scent of the sea.,cafe;modern;local;breakfast,https://goo.gl/maps/gmPnbzR7p8x
Catania,Piazza Università,cafe,Caffè Prestipino,37.5056,15.0887,Old pastry shop with baroque décor and famous cassata.,A slice of sugar-laden history behind glass.,cafe;pasticceria;heritage;local,https://goo.gl/maps/XyY91t6EMtP2
Catania,Borgo,cafe,Pasticceria Continella,37.5208,15.0869,Family bakery specializing in marzipan and almond sweets.,Sicily’s past and present held together with sugar glue.,cafe;pasticceria;family-run;local,https://goo.gl/maps/Ee7F4iYNNWz
Catania,Via Gemellaro,cafe,Insigne Caffè,37.5124,15.0829,Specialty coffee bar with micro-roaster and pour-overs.,Foam art meets volcanic precision.,cafe;specialty;modern;local,https://goo.gl/maps/x1S7pmYxP7A2
Catania,Via Crociferi,cafe,Tramontana Caffè,37.5052,15.0893,Tiny café tucked between churches on the baroque street.,You sip quietly; bells ring above.,cafe;heritage;quiet;espresso,https://goo.gl/maps/YbYVYzZ2RWT2
Catania,Piazza Stesicoro,cafe,Bar Spinella,37.5082,15.0884,Local icon facing Villa Bellini gardens.,"Granita, brioche, gossip, and the hum of scooters.",cafe;granita;local;heritage,https://goo.gl/maps/tchmZQbCn3t
Catania,Corso Italia,cafe,Caffè Parisi,37.5216,15.0958,Elegant coffee house with terrace and fine pastries.,The clatter of porcelain sounds almost aristocratic.,cafe;modern;local;espresso,https://goo.gl/maps/h72N8fpY8h42
Catania,Centro Storico,trattoria,Trattoria Da Antonio,37.5049,15.0911,Seafood trattoria hidden near the fish market.,"The smell of lemon, garlic, and the day’s catch fills the alley.",trattoria;seafood;local;heritage,https://goo.gl/maps/z7QmQ1uE9gp
Catania,Piazza Duomo,trattoria,Osteria Antica Marina,37.5034,15.0904,Beloved spot for fresh fish and pasta alla Norma.,Plates as honest as the fishermen who supply them.,trattoria;seafood;local;authentic,https://goo.gl/maps/FutHzLrZeqx
Catania,Via Plebiscito,trattoria,Trattoria U Fucularu,37.5037,15.0867,Classic osteria with wood-grilled meats and wine.,"Smoke, laughter, and pork ribs — all equally loud.",trattoria;meat;local;heritage,https://goo.gl/maps/13RmtPPvWnF2
Catania,Centro Storico,trattoria,Trattoria Dal Pescatore,37.5056,15.0873,Unpretentious seafood place with handwritten menu.,"Fish, lemon, and opinion — all served fresh daily.",trattoria;seafood;local;authentic,https://goo.gl/maps/tjPWhswHx2A2
Catania,Via Gemellaro,trattoria,Osteria Antica Rosa,37.5121,15.0830,Simple local kitchen with seasonal produce.,"Plates that taste like they were made to feed friends, not customers.",trattoria;local;seasonal;heritage,https://goo.gl/maps/Xz7gKHWdbgm
Catania,Via Monsignor,trattoria,Trattoria Casalinga,37.5100,15.0888,Family-style spot serving pasta alla Norma and involtini.,You come for lunch and leave adopted.,trattoria;family-run;local;classic,https://goo.gl/maps/jcTT5TvKCa42
Catania,Centro Storico,trattoria,Locanda Cerami,37.5058,15.0876,Youthful osteria serving Sicilian tapas and wine.,The street smells of basil and ambition.,trattoria;modern;local;wine,https://goo.gl/maps/Li4n1m6c2sA2
Catania,Centro Storico,trattoria,Osteria Antica Locanda,37.5051,15.0883,"Warm, narrow trattoria with brick walls and seafood focus.",You forget time; the wine remembers for you.,trattoria;seafood;local;heritage,https://goo.gl/maps/SwCJY3CYYdL2
Catania,Via Etnea,trattoria,Il Borgo di Federico,37.5103,15.0837,Mid-century trattoria famous for pizza and pasta alla Norma.,"Families eat, argue, and pass plates across generations.",trattoria;local;pizza;heritage,https://goo.gl/maps/pfkZgU5SK852
Catania,Piazza Manganelli,trattoria,Ristorante Me Cumpari Turiddu,37.5057,15.0879,Stylish trattoria celebrating Sicilian grandma recipes.,The past served with better wine and lighting.,trattoria;heritage;local;modern,https://goo.gl/maps/Wwjx4kqD6tG2
